session_id,pages_viewed,time_on_site_min,items_added,cart_total_gbp,used_discount_code,is_returning,device_mobile,hour_of_day,prev_orders,completed
900000,8,1.0,1,53.75,0,1,1,10,1,1
900001,8,1.1,0,0.0,0,0,1,11,0,0
900002,9,4.7,0,0.0,0,0,0,8,0,0
900003,7,2.4,1,29.7,0,1,1,20,3,1
900004,6,13.9,2,86.46,1,0,0,8,0,1
900005,6,5.5,1,31.77,0,0,1,14,0,0
900006,1,1.9,1,41.16,0,0,1,2,0,0
900007,7,4.3,2,69.47,1,0,1,10,0,0
900008,8,0.7,0,0.0,0,1,1,2,1,0
900009,5,0.5,2,100.61,0,0,1,8,0,1
900010,8,12.7,4,159.29,0,1,1,7,1,1
900011,1,0.2,2,116.45,0,0,1,5,0,0
900012,6,0.2,2,54.13,0,0,1,15,0,1
900013,4,6.6,0,0.0,1,1,0,18,4,1
900014,9,1.7,2,79.55,0,1,1,15,3,1
900015,4,3.3,1,32.42,0,1,0,16,4,1
900016,9,0.7,0,0.0,1,0,1,17,0,1
900017,4,11.0,1,39.31,0,0,0,19,0,1
900018,5,0.2,1,19.51,0,0,0,3,0,0
900019,5,5.9,1,8.86,0,0,1,18,0,1
900020,8,1.0,0,0.0,0,0,1,3,0,0
900021,3,1.0,1,17.79,1,0,1,2,0,0
900022,7,0.2,1,28.88,0,0,1,15,0,0
900023,4,1.0,2,65.83,0,1,1,0,3,1
900024,8,1.5,2,68.01,0,1,1,5,2,1
900025,8,4.4,0,0.0,0,0,1,4,0,0
900026,7,0.3,0,0.0,0,1,0,23,0,1
900027,4,3.6,3,113.58,1,1,1,0,1,1
900028,7,1.7,1,41.83,0,0,1,13,0,0
900029,4,2.2,2,45.32,0,0,0,21,0,1
900030,7,1.6,0,0.0,0,0,1,22,0,0
900031,8,0.3,2,156.33,0,0,0,8,0,0
900032,4,2.1,2,73.66,0,1,1,2,2,1
900033,7,2.0,2,91.12,0,0,1,22,0,0
900034,9,4.9,0,0.0,0,0,1,6,0,0
900035,7,7.1,1,43.81,0,1,1,3,2,1
900036,4,0.6,2,63.91,0,1,1,5,1,1
900037,4,16.0,2,57.23,0,1,1,15,0,0
900038,1,0.5,1,56.1,1,0,1,7,0,0
900039,2,2.5,1,53.5,0,1,1,2,2,0
900040,7,4.6,4,138.65,0,1,0,18,0,1
900041,5,3.8,2,75.93,0,1,0,16,3,1
900042,4,3.8,3,91.39,0,1,0,9,3,1
900043,10,2.3,0,0.0,1,0,1,0,0,0
900044,6,7.6,1,36.14,0,0,1,15,0,0
900045,5,0.6,1,37.98,0,0,1,2,0,0
900046,11,1.8,1,47.63,0,0,1,3,0,0
